sample_id,line_id,replicate,condition_name,macrophage_harvest,salmonella_date,ng_ul_mean,rna_extraction,rna_submit,library_pool,chemistry,rna_auto,biosamples_accession
giuo_A,giuo_4,1,naive,10/30/2014,11/5/2014,279.085,11/6/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885240
giuo_B,giuo_4,1,IFNg,10/30/2014,11/5/2014,279.085,11/6/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103884933
giuo_C,giuo_4,1,SL1344,10/30/2014,11/5/2014,279.085,11/6/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885171
giuo_D,giuo_4,1,IFNg_SL1344,10/30/2014,11/5/2014,279.085,11/6/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885155
golb_A,golb_1,1,naive,10/15/2014,10/22/2014,249.0175,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103884921
golb_B,golb_1,1,IFNg,10/15/2014,10/22/2014,249.0175,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885296
golb_C,golb_1,1,SL1344,10/15/2014,10/22/2014,249.0175,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103884941
golb_D,golb_1,1,IFNg_SL1344,10/15/2014,10/22/2014,249.0175,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885062
gomv_A,gomv_3,1,naive,10/15/2014,10/22/2014,167.038785714286,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885131
gomv_B,gomv_3,1,IFNg,10/15/2014,10/22/2014,167.038785714286,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885323
gomv_C,gomv_3,1,SL1344,10/15/2014,10/22/2014,167.038785714286,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885246
gomv_D,gomv_3,1,IFNg_SL1344,10/15/2014,10/22/2014,167.038785714286,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103884979
guss_A,guss_1,1,naive,11/11/2015,11/18/2015,222.8325,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885196
guss_B,guss_1,1,IFNg,11/11/2015,11/18/2015,222.8325,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885094
guss_C,guss_1,1,SL1344,11/11/2015,11/18/2015,222.8325,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885288
guss_D,guss_1,1,IFNg_SL1344,11/11/2015,11/18/2015,222.8325,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885054
hayt_A,hayt_1,1,naive,10/2/2015,10/9/2015,174.68,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885095
hayt_B,hayt_1,1,IFNg,10/2/2015,10/9/2015,174.68,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885198
hayt_C,hayt_1,1,SL1344,10/2/2015,10/9/2015,174.68,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884916
hayt_D,hayt_1,1,IFNg_SL1344,10/2/2015,10/9/2015,174.68,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884875
hehd_A,hehd_2,1,naive,10/28/2015,11/5/2015,98.135,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884877
hehd_B,hehd_2,1,IFNg,10/28/2015,11/5/2015,98.135,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885114
hehd_C,hehd_2,1,SL1344,10/28/2015,11/5/2015,98.135,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884886
hehd_D,hehd_2,1,IFNg_SL1344,10/28/2015,11/5/2015,98.135,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885118
heja_A,heja_1,1,naive,8/5/2015,8/12/2015,76.6925,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103884892
