line_id,donor,clone,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,salmonella_date,atac_date,flow_date,medium_changes,terminated,status,mean_purity,max_purity,genotype_id,open_access,sex,RNA_included,ATAC_included
kolf_3,kolf,3,1,1/14/2015,3/10/2015,29,frozen,E8,3/28/2015,33,3/31/2015,5/13/2015,NA,NA,9,5/20/2015,Success,NA,NA,HPSI0114i-kolf_3,1,male,1,0
kuxp_1,kuxp,1,1,1/14/2015,5/26/2015,29,frozen,E8,6/18/2015,33,6/21/2015,7/22/2015,7/22/2015,7/21/2015,6,7/24/2015,Success,0.990134000883522,0.990428508319835,HPSI1013i-kuxp_1,1,male,1,1
lexy_1,lexy,1,1,1/14/2015,5/26/2015,30,frozen,E8,6/15/2015,34,6/18/2015,NA,NA,7/30/2015,9,8/4/2015,FC_QC_fail,0.841197361745307,0.851598173515982,HPSI0114i-lexy_1,1,female,0,0
nemb_1,nemb,1,1,1/14/2015,6/6/2015,49,frozen,E8,6/23/2015,44,6/26/2015,7/22/2015,NA,7/27/2015,9,8/11/2015,Success,0.964010039304826,0.973859923284558,HPSI0713i-nemb_1,0,male,1,0
nusw_2,nusw,2,1,1/14/2015,2/2/2015,25,frozen,KSR,2/20/2015,30,2/23/2015,4/1/2015,4/17/2015,NA,9,4/10/2015,Success,NA,NA,HPSI1213i-nusw_2,1,male,1,1
oapg_5,oapg,5,1,1/14/2015,5/26/2015,31,frozen,E8,6/18/2015,36,6/21/2015,7/31/2015,7/31/2015,7/27/2015,7,8/4/2015,Success,0.963200083281282,0.967988757026858,HPSI0913i-oapg_5,1,female,1,1
oefg_2,oefg,2,1,1/14/2015,2/4/2015,37,frozen,KSR,3/17/2015,44,3/20/2015,4/28/2015,5/6/2015,4/28/2015,6,4/29/2015,Success,0.972804163955758,0.982173064411191,HPSI0613i-oefg_2,0,male,1,1
pahc_4,pahc,4,1,1/14/2015,3/10/2015,33,frozen,E8,3/28/2015,37,3/31/2015,5/6/2015,5/6/2015,5/5/2015,9,5/12/2015,Success,0.966647387700019,0.972623867360709,HPSI1213i-pahc_4,1,female,1,1
pamv_3,pamv,3,1,1/14/2015,6/6/2015,34,frozen,E8,6/28/2015,38,7/1/2015,7/31/2015,7/31/2015,7/27/2015,6,8/4/2015,Success,0.995810505961972,1,HPSI1013i-pamv_3,1,male,1,1
podx_1,podx,1,1,1/14/2015,6/6/2015,32,frozen,E8,6/23/2015,36,6/26/2015,7/22/2015,7/22/2015,7/21/2015,5,7/24/2015,Success,0.980583543240974,0.982682619647355,HPSI1113i-podx_1,1,female,1,1
qony_1,qony,1,1,1/14/2015,6/6/2015,30,frozen,E8,6/27/2015,34,6/30/2015,NA,NA,NA,7,8/11/2015,Diff_fail,NA,NA,HPSI0613i-qony_1,0,female,0,0
qorq_1,qorq,1,1,1/14/2015,5/21/2015,28,frozen,E8,6/5/2015,32,6/8/2015,NA,NA,NA,5,7/8/2015,Diff_fail,NA,NA,HPSI1113i-qorq_1,1,male,0,0
robp_3,robp,3,1,1/14/2015,3/9/2015,36,frozen,E8,3/27/2015,40,3/30/2015,NA,NA,NA,7,5/6/2015,Diff_fail,NA,NA,HPSI0813i-robp_3,0,male,0,0
rozh_5,rozh,5,1,1/14/2015,5/21/2015,31,frozen,E8,6/5/2015,35,6/8/2015,NA,NA,7/21/2015,9,7/29/2015,FC_QC_fail,0.835216572504708,0.846650524616626,HPSI0114i-rozh_5,1,female,0,0
ruql_3,ruql,3,1,1/14/2015,2/23/2015,24,frozen,E8,3/13/2015,28,3/16/2015,NA,NA,NA,11,5/15/2015,Diff_fail,NA,NA,HPSI0913i-ruql_3,0,female,0,0
